merge_cod,freez,hum,lev_max,lev_mid,lev_min,rain,rain_1mm,rain_cum,rain_max_10,rain_max_day,sun,temp_avg,temp_max_abs,temp_max_avg,temp_min_abs,wind_avg,wind_max,wind_max_avg,code_merge,codigo, estacion,year,month
C0B1_Abusu (La Peña)_2016_FEB,2,91.3,4.313,1.021,,19,15,290.4,2.4,57.7,,8.6,18.7,12.6,5.2,,,,C0B1_Abusu (La Peña)_2016_FEB,C0B1,Abusu (La Peña),2016,FEB
C079_Amorebieta_2016_FEB,3,84.6,4.014,0.806,,20,15,335,2.8,84,,8.2,20.1,12.8,4.2,,,,C079_Amorebieta_2016_FEB,C079,Amorebieta,2016,FEB
C0C1_Aranguren_2016_FEB,1,80.6,3.578,1.067,,19,16,268.5,3.6,82.3,,10.4,22.2,15.2,6.5,,,,C0C1_Aranguren_2016_FEB,C0C1,Aranguren,2016,FEB
C061_Arboleda_2016_FEB,1,76.2,,,,20,16,334.3,3.2,80.8,6.6,8.8,18.5,11.9,5.8,18.2,118.4,63.6,C061_Arboleda_2016_FEB,C061,Arboleda,2016,FEB
C032_Areta_2016_FEB,3,79.0,1.381,0.413,,21,16,306,3,76.2,,8.4,20.0,13.1,4.2,5.7,90.4,35.4,C032_Areta_2016_FEB,C032,Areta,2016,FEB
C002_Arteaga_2016_FEB,1,77.6,,,,22,19,387.7,2.5,81.7,,10.4,20.5,14.7,6.2,6.8,91.1,42.9,C002_Arteaga_2016_FEB,C002,Arteaga,2016,FEB
C0C2_Balmaseda_2016_FEB,9,78.0,2.543,0.487,,20,15,264.2,2.8,77.6,,6.6,18.6,11.4,2.3,,,,C0C2_Balmaseda_2016_FEB,C0C2,Balmaseda,2016,FEB
C069_Bermeo_2016_FEB,0,76.7,,,,22,19,425.9,5.2,62.3,6.9,10.5,18.8,13.6,7.8,13.7,106.2,52.9,C069_Bermeo_2016_FEB,C069,Bermeo,2016,FEB
C0B6_Berna_2016_FEB,3,83.7,,,,20,16,382.4,3.4,111.7,,8.3,20.8,13.2,4.3,,,,C0B6_Berna_2016_FEB,C0B6,Berna,2016,FEB
C0BE_Berriatua_2016_FEB,0,82.1,2.373,0.518,,21,17,347.4,3.7,64.6,,10.2,20.3,14.6,6.4,,,,C0BE_Berriatua_2016_FEB,C0BE,Berriatua,2016,FEB
C065_Cerroja_2016_FEB,1,81.8,,,,18,16,316.1,2.9,85.3,6.1,6.8,16.8,9.8,4.1,22.0,133.6,67.6,C065_Cerroja_2016_FEB,C065,Cerroja,2016,FEB
C003_Derio_2016_FEB,2,76.7,,,,22,16,348.2,2.7,70.6,6.7,9.4,20.3,13.7,5.4,7.7,77.4,40.5,C003_Derio_2016_FEB,C003,Derio,2016,FEB
C039_Deusto_2016_FEB,0,74.4,,,,21,16,277,2.2,59.9,6.9,10.9,20.6,14.3,7.9,13.8,93.2,50.1,C039_Deusto_2016_FEB,C039,Deusto,2016,FEB
C075_Eitzaga_2016_FEB,1,,,,,23,18,386.1,2.6,101.5,,9.0,21.7,13.5,5.4,7.1,77.0,41.6,C075_Eitzaga_2016_FEB,C075,Eitzaga,2016,FEB
C074_Elorrio_2016_FEB,2,83.4,1.644,0.340,,22,18,319.1,3.3,74.9,,8.9,20.2,13.4,5.0,,,,C074_Elorrio_2016_FEB,C074,Elorrio,2016,FEB
C038_Galindo_2016_FEB,0,71.9,,,,21,17,306,2.1,61.6,,10.6,21.3,14.4,7.4,9.6,92.5,44.7,C038_Galindo_2016_FEB,C038,Galindo,2016,FEB
C033_Igorre_2016_FEB,2,91.6,,,,21,16,317,3.4,92.5,6.4,9.2,21.1,13.9,5.2,8.5,94.0,39.6,C033_Igorre_2016_FEB,C033,Igorre,2016,FEB
C0BD_Iruzubieta_2016_FEB,1,83.6,1.676,0.386,,22,19,408.4,3.2,80.8,,8.3,20.0,13.2,4.2,,,,C0BD_Iruzubieta_2016_FEB,C0BD,Iruzubieta,2016,FEB
C036_Iurreta_2016_FEB,1,81.9,,,,22,16,332,2.6,87.9,6.7,9.5,21.2,13.6,5.7,10.8,98.3,46.5,C036_Iurreta_2016_FEB,C036,Iurreta,2016,FEB
C045_La Garbea_2016_FEB,1,91.0,,,,20,17,258.8,1.4,46.3,,6.7,16.7,9.6,4.3,,120.6,,C045_La Garbea_2016_FEB,C045,La Garbea,2016,FEB
C0B7_Mañaria_2016_FEB,1,81.0,1.343,0.411,,21,18,346.8,5.2,97.6,,9.3,20.0,13.3,5.5,,,,C0B7_Mañaria_2016_FEB,C0B7,Mañaria,2016,FEB
C019_Matxitxako_2016_FEB,0,83.3,,,,21,16,324.1,5.3,41.2,6.2,8.4,16.8,11.1,6.0,36.5,143.3,81.7,C019_Matxitxako_2016_FEB,C019,Matxitxako,2016,FEB
C057_Mungia_2016_FEB,1,80.3,6.174,1.520,,22,18,371,2.7,66.7,6.9,10.8,22.1,15.2,6.8,10.7,90.4,47.7,C057_Mungia_2016_FEB,C057,Mungia,2016,FEB
C063_Muxika_2016_FEB,4,80.6,2.592,0.472,,23,17,386.4,2.5,84.8,,8.9,19.4,13.7,4.5,,,,C063_Muxika_2016_FEB,C063,Muxika,2016,FEB
C046_Oiz_2016_FEB,8,95.7,,,,19,16,198.3,1.7,30.2,,3.9,13.2,6.1,1.8,33.7,133.2,73.5,C046_Oiz_2016_FEB,C046,Oiz,2016,FEB
C0BA_Oleta_2016_FEB,1,86.2,2.775,0.544,,22,17,344.6,4.7,50.9,,10.1,20.3,14.6,6.3,,,,C0BA_Oleta_2016_FEB,C0BA,Oleta,2016,FEB
C059_Ordunte_2016_FEB,3,73.9,,,,20,15,328.1,3.2,73.1,6.8,7.5,17.7,11.4,3.8,11.2,104.8,55.3,C059_Ordunte_2016_FEB,C059,Ordunte,2016,FEB
C072_Orduña_2016_FEB,4,93.9,,,,20,17,210.3,2.5,28.9,,4.7,13.8,7.5,2.4,27.3,149.8,68.1,C072_Orduña_2016_FEB,C072,Orduña,2016,FEB
C0B4_Orozko_2016_FEB,2,83.4,2.083,0.341,,19,17,278.5,2.6,84.9,,8.0,18.6,12.2,4.4,5.3,70.9,30.8,C0B4_Orozko_2016_FEB,C0B4,Orozko,2016,FEB
C054_Otxandio_2016_FEB,7,86.8,3.373,0.594,,20,17,330.3,2.8,113.5,6.6,5.9,17.6,10.1,2.0,7.0,73.1,37.4,C054_Otxandio_2016_FEB,C054,Otxandio,2016,FEB
C042_Punta Galea_2016_FEB,0,72.6,,,,20,17,227.1,3.4,36.8,7.3,11.0,19.5,13.9,8.2,25.8,134.6,67.9,C042_Punta Galea_2016_FEB,C042,Punta Galea,2016,FEB
C0B9_Sangroniz_2016_FEB,2,81.1,3.502,0.838,,22,17,310.2,2.1,59.7,,9.2,19.8,13.7,5.3,,,,C0B9_Sangroniz_2016_FEB,C0B9,Sangroniz,2016,FEB
C0C3_Sodupe_2016_FEB,2,82.1,,,,21,15,344.5,2.3,96.6,,8.8,20.1,13.8,5.0,6.1,76.3,35.5,C0C3_Sodupe_2016_FEB,C0C3,Sodupe,2016,FEB
C066_Untzueta_2016_FEB,6,86.5,,,,,,,,,,5.3,15.0,8.2,2.8,25.6,112.7,62.7,C066_Untzueta_2016_FEB,C066,Untzueta,2016,FEB
C022_Urkiola_2016_FEB,5,87.4,,,,20,16,346.4,5.6,104.1,6.2,5.3,16.8,8.5,2.4,12.3,112.0,48.1,C022_Urkiola_2016_FEB,C022,Urkiola,2016,FEB
C0B3_Urkizu_2016_FEB,3,86.7,3.535,0.749,,23,15,314.2,3.1,71.8,,8.4,20.1,13.2,4.4,,,,C0B3_Urkizu_2016_FEB,C0B3,Urkizu,2016,FEB
C037_Venta Alta_2016_FEB,2,77.1,,,,21,17,333.4,2.3,81.4,6.7,9.1,19.3,12.9,5.4,11.8,100.4,50.6,C037_Venta Alta_2016_FEB,C037,Venta Alta,2016,FEB
C0E5_Agauntza_2016_FEB,3,80.7,1.284,0.432,,18,16,257.7,3.5,67,,8.4,19.7,12.6,4.5,,,,C0E5_Agauntza_2016_FEB,C0E5,Agauntza,2016,FEB
C0DB_Aitzu_2016_FEB,8,82.7,1.621,0.453,,18,18,373,2.8,95.4,,6.3,18.2,10.5,2.5,,,,C0DB_Aitzu_2016_FEB,C0DB,Aitzu,2016,FEB
C0D3_Aixola_2016_FEB,2,85.2,0.570,0.178,,22,18,381.8,3,86.8,,7.3,20.1,11.5,3.8,,,,C0D3_Aixola_2016_FEB,C0D3,Aixola,2016,FEB
C0DD_Aizarnazabal_2016_FEB,1,85.2,2.794,0.780,,22,19,293,3,60.8,,8.7,17.7,12.6,5.1,,,,C0DD_Aizarnazabal_2016_FEB,C0DD,Aizarnazabal,2016,FEB
C0E9_Alegia_2016_FEB,2,86.6,3.138,0.769,,18,16,304.4,3.2,88.8,,8.8,21.8,14.2,4.9,,,,C0E9_Alegia_2016_FEB,C0E9,Alegia,2016,FEB
C078_Altzola_2016_FEB,1,82.6,4.664,0.975,,21,19,368.9,2.5,76.5,,8.7,18.2,13.0,5.2,,,,C078_Altzola_2016_FEB,C078,Altzola,2016,FEB
C052_Ameraun_2016_FEB,2,78.6,1.831,0.803,,20,18,382.4,2.8,107,,7.6,18.4,11.4,4.0,,,,C052_Ameraun_2016_FEB,C052,Ameraun,2016,FEB
C0E1_Amundarain_2016_FEB,4,85.6,0.920,0.439,,18,16,272.3,4.7,64.7,,7.9,20.1,12.4,3.8,,,,C0E1_Amundarain_2016_FEB,C0E1,Amundarain,2016,FEB
C077_Andoain_2016_FEB,1,81.6,1.496,0.583,,21,18,295.8,4.3,72.2,,8.8,20.2,13.3,5.0,,,,C077_Andoain_2016_FEB,C077,Andoain,2016,FEB
C080_Añarbe_2016_FEB,4,87.8,1.349,0.542,,23,18,415.6,4.3,100.4,,7.9,21.8,12.9,3.8,,,,C080_Añarbe_2016_FEB,C080,Añarbe,2016,FEB
C0E8_Araxes_2016_FEB,3,78.8,1.819,0.607,,19,17,295.1,4.2,74.1,,8.0,19.7,12.7,4.2,,,,C0E8_Araxes_2016_FEB,C0E8,Araxes,2016,FEB
C023_Arrasate_2016_FEB,7,80.2,,,,19,19,378.1,2.5,134.2,6.5,7.0,20.8,11.6,3.2,8.0,103.3,47.0,C023_Arrasate_2016_FEB,C023,Arrasate,2016,FEB
C084_Behobia_2016_FEB,1,77.1,,,,22,16,246.1,3.2,40.2,,9.2,20.0,12.9,5.9,,,,C084_Behobia_2016_FEB,C084,Behobia,2016,FEB
C0EA_Belauntza_2016_FEB,2,81.6,0.973,0.337,,19,18,280,4.3,68.4,,8.3,20.7,12.8,4.6,,,,C0EA_Belauntza_2016_FEB,C0EA,Belauntza,2016,FEB
C026_Berastegi_2016_FEB,5,80.3,,,,19,18,379.5,3.6,106.6,,7.1,17.9,10.9,2.9,7.7,78.1,40.6,C026_Berastegi_2016_FEB,C026,Berastegi,2016,FEB
C058_Bidania_2016_FEB,7,86.9,,,,22,18,356.1,2.8,73.7,6.5,6.0,18.8,10.0,2.7,11.3,97.9,50.3,C058_Bidania_2016_FEB,C058,Bidania,2016,FEB
C0F0_Ereñozu_2016_FEB,1,90.8,1.695,0.803,,20,17,303.3,2.5,62.1,,9.3,18.8,13.3,5.8,,,,C0F0_Ereñozu_2016_FEB,C0F0,Ereñozu,2016,FEB
C0E7_Estanda_2016_FEB,3,84.0,1.752,0.348,,18,17,262.2,5.1,69.6,,8.1,20.4,13.0,4.1,,,,C0E7_Estanda_2016_FEB,C0E7,Estanda,2016,FEB
C018_Higer_2016_FEB,0,73.9,,,,,,,,,7.2,10.9,19.4,13.6,8.0,17.4,105.1,56.2,C018_Higer_2016_FEB,C018,Higer,2016,FEB
C0DC_Ibai Eder_2016_FEB,1,87.7,1.313,0.382,,21,18,349.6,3.9,95.1,6.6,9.7,22.1,14.5,5.6,,,,C0DC_Ibai Eder_2016_FEB,C0DC,Ibai Eder,2016,FEB
C071_Jaizkibel_2016_FEB,1,79.9,,,,,,,,,,7.3,17.6,9.7,4.9,27.6,121.3,66.4,C071_Jaizkibel_2016_FEB,C071,Jaizkibel,2016,FEB
C0EC_Lasarte_2016_FEB,1,79.0,3.926,0.959,,21,18,305.2,2.4,62.5,6.2,9.4,20.8,13.4,5.9,7.5,71.6,37.1,C0EC_Lasarte_2016_FEB,C0EC,Lasarte,2016,FEB
C0DE_Matxinbenta_2016_FEB,0,88.4,0.845,0.273,,21,18,344.5,4.2,75.2,,9.6,20.0,13.5,6.0,,,,C0DE_Matxinbenta_2016_FEB,C0DE,Matxinbenta,2016,FEB
C017_Miramon_2016_FEB,1,78.5,,,,22,17,318.1,2.3,55.3,,8.7,19.0,12.7,5.2,12.0,94.7,49.4,C017_Miramon_2016_FEB,C017,Miramon,2016,FEB
C0F4_Oiartzun_2016_FEB,1,76.0,1.421,0.465,,22,16,317.1,2.4,56.9,,9.5,19.4,13.8,5.6,,,,C0F4_Oiartzun_2016_FEB,C0F4,Oiartzun,2016,FEB
C0D1_Oñati_2016_FEB,3,84.9,1.985,0.587,,21,18,305.2,2.4,95.2,,8.0,20.0,12.4,4.1,,,,C0D1_Oñati_2016_FEB,C0D1,Oñati,2016,FEB
C043_Ordizia_2016_FEB,1,83.6,,,,19,16,291.2,4.9,84.2,6.4,8.9,20.6,13.2,5.0,7.1,114.5,41.3,C043_Ordizia_2016_FEB,C043,Ordizia,2016,FEB
C0D2_San Prudentzio_2016_FEB,3,,2.177,0.667,,21,19,340.2,3.1,99.4,,8.3,20.7,12.8,4.6,,,,C0D2_San Prudentzio_2016_FEB,C0D2,San Prudentzio,2016,FEB
C007_Santa Clara_2016_FEB,0,73.6,,,,,,,,,6.7,10.2,19.5,13.1,7.2,17.2,116.6,59.7,C007_Santa Clara_2016_FEB,C007,Santa Clara,2016,FEB
C0D0_Urkulu_2016_FEB,2,82.0,0.721,0.219,,21,18,250.2,3.4,46.8,,7.3,18.3,11.3,3.7,,,,C0D0_Urkulu_2016_FEB,C0D0,Urkulu,2016,FEB
C064_Zarautz_2016_FEB,0,75.1,,,,21,15,245.6,2,45.6,,10.1,18.2,12.8,7.1,19.4,109.8,57.4,C064_Zarautz_2016_FEB,C064,Zarautz,2016,FEB
C028_Zegama_2016_FEB,2,82.8,,,,20,18,285.7,3.6,83.3,,7.5,18.1,10.9,4.4,12.2,109.1,56.5,C028_Zegama_2016_FEB,C028,Zegama,2016,FEB
C029_Zizurkil_2016_FEB,1,78.9,,,,20,18,255.9,3.1,64,6.1,9.5,21.1,13.5,5.9,11.7,94.0,46.2,C029_Zizurkil_2016_FEB,C029,Zizurkil,2016,FEB
C076_Abetxuko_2019_FEB,18,79.9,2.616,0.412,0.055,5,5,49.4,1.1,33.4,,6.3,22.6,14.1,0.0,,,,C076_Abetxuko_2019_FEB,C076,Abetxuko,2019,FEB
C0A4_Albaina_2019_FEB,18,75.4,1.017,0.463,0.268,,,,,,,5.8,22.3,13.6,-0.5,,,,C0A4_Albaina_2019_FEB,C0A4,Albaina,2019,FEB
C056_Alegria_2019_FEB,11,72.6,1.691,0.653,0.300,5,5,40.7,1.5,27.9,,6.9,22.4,13.3,1.1,8.2,79.9,35.3,C056_Alegria_2019_FEB,C056,Alegria,2019,FEB
C035_Altube_2019_FEB,12,73.8,,,,7,5,60.7,1.6,38.2,11.5,6.4,22.7,13.5,0.7,6.9,64.4,31.1,C035_Altube_2019_FEB,C035,Altube,2019,FEB
C0A3_Antoñana_2019_FEB,18,82.8,1.250,0.592,0.389,,,,,,,5.7,23.3,13.4,-0.1,,,,C0A3_Antoñana_2019_FEB,C0A3,Antoñana,2019,FEB
C016_Arkauti_2019_FEB,13,,,,,6,5,36.5,0.7,24.9,11.3,6.6,22.2,13.8,0.5,7.2,75.2,31.4,C016_Arkauti_2019_FEB,C016,Arkauti,2019,FEB
C025_Beluntza_2019_FEB,7,75.4,,,,,,,,,,7.0,21.9,12.4,2.8,19.4,94.7,44.7,C025_Beluntza_2019_FEB,C025,Beluntza,2019,FEB
C0A2_Egino_2019_FEB,12,71.7,1.266,0.436,0.219,,,,,,,7.1,23.1,12.9,1.7,,,,C0A2_Egino_2019_FEB,C0A2,Egino,2019,FEB
C034_Espejo_2019_FEB,19,80.8,,,,5,4,36.5,1.2,24.5,,5.9,23.1,14.0,-0.6,5.8,63.7,27.0,C034_Espejo_2019_FEB,C034,Espejo,2019,FEB
C0AA_Etura_2019_FEB,0,,2.284,0.524,0.284,5,5,39.1,1.1,24.2,11.0,,,,,9.2,73.4,33.8,C0AA_Etura_2019_FEB,C0AA,Etura,2019,FEB
C067_Gardea_2019_FEB,1,70.0,1.018,0.351,0.190,6,5,66.5,2.4,45.2,,9.5,26.2,17.2,3.7,8.3,55.8,34.4,C067_Gardea_2019_FEB,C067,Gardea,2019,FEB
C040_Gasteiz_2019_FEB,1,75.3,,,,,,,,,11.5,9.4,22.8,15.2,4.4,6.8,80.3,33.7,C040_Gasteiz_2019_FEB,C040,Gasteiz,2019,FEB
C044_Gorbea_2019_FEB,10,83.4,,,,7,5,77.1,1.7,46.2,,5.3,21.6,12.5,0.6,,,,C044_Gorbea_2019_FEB,C044,Gorbea,2019,FEB
C048_Herrera_2019_FEB,5,69.4,,,,6,5,41.6,1.2,25.4,11.3,6.5,19.4,10.1,3.5,18.4,92.5,54.8,C048_Herrera_2019_FEB,C048,Herrera,2019,FEB
C068_Ilarduia_2019_FEB,7,67.4,,,,7,5,45.6,0.9,30.1,,7.8,23.3,13.4,2.4,13.9,75.6,44.6,C068_Ilarduia_2019_FEB,C068,Ilarduia,2019,FEB
C024_Iturrieta_2019_FEB,15,74.9,,,,7,5,44.9,1.1,23.5,12.0,4.7,20.0,10.0,-0.4,13.9,96.1,42.7,C024_Iturrieta_2019_FEB,C024,Iturrieta,2019,FEB
C00A_Kanpezu_2019_FEB,14,78.7,,,,,,,,,11.7,6.3,22.0,13.1,0.2,12.0,81.4,37.4,C00A_Kanpezu_2019_FEB,C00A,Kanpezu,2019,FEB
C047_Kapildui_2019_FEB,4,84.0,,,,6,5,36.9,1.2,15.1,,6.0,20.1,9.6,3.0,22.3,92.2,53.1,C047_Kapildui_2019_FEB,C047,Kapildui,2019,FEB
C031_Moreda_2019_FEB,0,65.0,,,,4,3,18.9,0.8,13.7,11.9,8.9,22.7,14.2,4.4,12.9,73.1,39.3,C031_Moreda_2019_FEB,C031,Moreda,2019,FEB
C041_Navarrete_2019_FEB,19,82.7,,,,5,5,51.1,1.3,31.5,11.9,5.5,22.2,12.8,-0.5,10.0,81.4,36.2,C041_Navarrete_2019_FEB,C041,Navarrete,2019,FEB
C055_Ozaeta_2019_FEB,19,73.8,1.530,0.219,0.037,6,5,43.6,1.1,27.2,,5.7,21.8,13.2,-0.6,,,,C055_Ozaeta_2019_FEB,C055,Ozaeta,2019,FEB
C060_Páganos_2019_FEB,9,66.5,,,,4,3,31.1,1.3,24.2,12.2,7.2,22.0,12.4,2.0,13.7,95.8,42.2,C060_Páganos_2019_FEB,C060,Páganos,2019,FEB
C0A1_Pagoeta_2019_FEB,22,78.0,0.378,0.262,0.221,,,,,,,4.7,20.2,11.7,-1.3,,,,C0A1_Pagoeta_2019_FEB,C0A1,Pagoeta,2019,FEB
C021_Roitegi_2019_FEB,13,,,,,,,,,,,5.7,21.1,10.6,0.8,16.2,91.8,47.4,C021_Roitegi_2019_FEB,C021,Roitegi,2019,FEB
C030_Salvatierra_2019_FEB,14,71.3,,,,9,5,39.7,0.6,19,11.6,6.9,23.6,14.0,0.3,7.3,74.9,34.6,C030_Salvatierra_2019_FEB,C030,Salvatierra,2019,FEB
C051_Saratxo_2019_FEB,2,68.4,1.621,0.489,0.152,6,5,53.6,1.6,37.4,11.0,9.6,26.0,16.8,3.4,6.8,79.2,32.8,C051_Saratxo_2019_FEB,C051,Saratxo,2019,FEB
C0A0_Sarria_2019_FEB,17,80.1,1.183,0.465,0.169,7,5,75.8,1.4,46.4,,5.0,22.0,12.9,-0.3,,,,C0A0_Sarria_2019_FEB,C0A0,Sarria,2019,FEB
C049_Subijana_2019_FEB,21,77.5,,,,6,5,36.7,1.2,25.9,,5.2,22.1,13.4,-1.2,,,,C049_Subijana_2019_FEB,C049,Subijana,2019,FEB
C00B_Tobillas_2019_FEB,18,79.8,,,,5,4,44.1,1.3,31.5,10.8,4.9,21.8,13.0,-0.5,5.3,77.8,31.5,C00B_Tobillas_2019_FEB,C00B,Tobillas,2019,FEB
C020_Trebiño_2019_FEB,18,76.4,,,,5,4,33.4,2.3,22.7,10.8,5.8,21.8,13.2,-0.5,9.4,81.0,35.6,C020_Trebiño_2019_FEB,C020,Trebiño,2019,FEB
C070_Zaldiaran_2019_FEB,4,70.8,,,,6,4,37.3,0.9,23,,6.7,20.4,10.6,3.1,27.0,94.7,56.3,C070_Zaldiaran_2019_FEB,C070,Zaldiaran,2019,FEB
C050_Zambrana_2019_FEB,13,78.6,,,,4,4,37.7,1.5,26.5,11.4,6.8,23.4,14.5,0.8,8.3,121.7,34.2,C050_Zambrana_2019_FEB,C050,Zambrana,2019,FEB
C0B1_Abusu (La Peña)_2019_FEB,0,72.9,3.445,0.729,0.220,9,5,46.4,3.1,30.2,,10.0,25.4,16.6,4.9,,,,C0B1_Abusu (La Peña)_2019_FEB,C0B1,Abusu (La Peña),2019,FEB
C079_Amorebieta_2019_FEB,1,72.4,2.114,0.530,0.285,9,6,52,2.1,28.8,,9.1,26.2,17.0,3.2,,,,C079_Amorebieta_2019_FEB,C079,Amorebieta,2019,FEB
C0C1_Aranguren_2019_FEB,0,73.6,3.465,0.948,0.553,10,5,54.1,3.6,37,,9.6,27.0,18.7,3.1,,,,C0C1_Aranguren_2019_FEB,C0C1,Aranguren,2019,FEB
C061_Arboleda_2019_FEB,0,65.2,,,,9,6,37.6,1.8,15.9,,11.7,24.8,16.3,7.4,16.4,111.2,55.2,C061_Arboleda_2019_FEB,C061,Arboleda,2019,FEB
C032_Areta_2019_FEB,2,72.7,0.965,0.359,0.256,8,5,60.4,1.6,44.6,,9.2,27.2,17.8,3.1,4.8,71.6,29.4,C032_Areta_2019_FEB,C032,Areta,2019,FEB
C002_Arteaga_2019_FEB,2,72.9,,,,5,5,32.7,1.6,12.1,10.0,10.4,27.7,17.8,4.3,5.1,71.6,29.9,C002_Arteaga_2019_FEB,C002,Arteaga,2019,FEB
C0C2_Balmaseda_2019_FEB,5,77.7,2.124,0.445,0.285,9,5,52.1,1.9,35.2,,7.9,24.9,16.4,1.6,,,,C0C2_Balmaseda_2019_FEB,C0C2,Balmaseda,2019,FEB
C069_Bermeo_2019_FEB,0,65.2,,,,8,5,31.2,2.3,9,10.5,12.6,26.5,16.3,9.3,11.4,87.8,42.7,C069_Bermeo_2019_FEB,C069,Bermeo,2019,FEB
C0B6_Berna_2019_FEB,2,77.2,,,,10,6,64.7,2.8,41.8,,9.0,26.9,17.6,2.9,,,,C0B6_Berna_2019_FEB,C0B6,Berna,2019,FEB
C0BE_Berriatua_2019_FEB,0,74.9,1.147,0.327,0.166,6,5,47.5,1.8,23.8,,10.7,28.2,17.9,5.2,,,,C0BE_Berriatua_2019_FEB,C0BE,Berriatua,2019,FEB
C065_Cerroja_2019_FEB,2,64.5,,,,7,5,50,1.6,31.3,11.0,9.3,20.9,12.9,6.2,16.5,110.5,52.2,C065_Cerroja_2019_FEB,C065,Cerroja,2019,FEB
C003_Derio_2019_FEB,0,68.5,,,,10,6,39.1,1.7,21.1,10.4,10.7,27.1,17.9,4.5,6.5,68.0,32.9,C003_Derio_2019_FEB,C003,Derio,2019,FEB
C039_Deusto_2019_FEB,0,67.1,,,,9,5,36.1,2.9,22.3,10.7,11.4,25.9,17.1,7.2,13.2,83.5,42.5,C039_Deusto_2019_FEB,C039,Deusto,2019,FEB
C075_Eitzaga_2019_FEB,0,74.2,,,,8,5,49.8,1.4,25.3,,9.9,28.1,18.4,4.1,4.7,65.2,30.0,C075_Eitzaga_2019_FEB,C075,Eitzaga,2019,FEB
C074_Elorrio_2019_FEB,0,74.1,0.718,0.221,0.131,8,5,53.6,1.5,24.2,,10.0,26.5,17.2,4.3,,,,C074_Elorrio_2019_FEB,C074,Elorrio,2019,FEB
C009_Galdakao_2019_FEB,0,69.5,4.900,1.217,0.539,9,5,42.4,1.5,23.7,,10.8,26.8,18.0,5.3,,,,C009_Galdakao_2019_FEB,C009,Galdakao,2019,FEB
C038_Galindo_2019_FEB,0,63.1,,,,10,5,41.7,3.2,26.8,,12.5,27.5,18.3,7.7,7.9,89.3,36.6,C038_Galindo_2019_FEB,C038,Galindo,2019,FEB
C033_Igorre_2019_FEB,2,,,,,9,6,67.2,1.8,36,,10.7,26.9,17.4,5.4,9.2,75.2,36.4,C033_Igorre_2019_FEB,C033,Igorre,2019,FEB
C0BD_Iruzubieta_2019_FEB,2,76.5,0.744,0.249,0.152,7,5,45.8,1.3,22.1,,8.6,25.9,17.0,2.9,,,,C0BD_Iruzubieta_2019_FEB,C0BD,Iruzubieta,2019,FEB
C036_Iurreta_2019_FEB,1,68.6,,,,8,5,52.3,1.8,25.6,10.6,10.6,26.7,17.4,5.4,8.7,79.2,35.7,C036_Iurreta_2019_FEB,C036,Iurreta,2019,FEB
C045_La Garbea_2019_FEB,2,80.1,,,,10,6,49.2,1.4,28.8,,8.5,21.8,12.9,5.2,24.5,104.4,55.8,C045_La Garbea_2019_FEB,C045,La Garbea,2019,FEB
C0B7_Mañaria_2019_FEB,1,69.2,0.838,0.303,0.172,9,5,64.3,2,33.6,,10.0,24.6,16.1,4.7,,,,C0B7_Mañaria_2019_FEB,C0B7,Mañaria,2019,FEB
C019_Matxitxako_2019_FEB,0,64.4,,,,9,8,29.6,2.8,6.5,10.4,11.0,25.1,14.8,8.1,29.1,119.5,67.8,C019_Matxitxako_2019_FEB,C019,Matxitxako,2019,FEB
C057_Mungia_2019_FEB,0,70.7,4.732,0.729,0.444,9,7,40.7,1.3,12.5,10.4,11.0,27.2,17.8,4.6,7.5,85.7,36.3,C057_Mungia_2019_FEB,C057,Mungia,2019,FEB
C063_Muxika_2019_FEB,3,73.9,1.131,0.283,0.182,7,5,37.6,1.3,19,,9.5,27.6,18.0,2.5,,,,C063_Muxika_2019_FEB,C063,Muxika,2019,FEB
C046_Oiz_2019_FEB,4,66.0,,,,5,5,25,0.9,12.1,,7.3,19.4,10.6,4.6,29.7,116.3,60.5,C046_Oiz_2019_FEB,C046,Oiz,2019,FEB
C0BA_Oleta_2019_FEB,0,75.9,1.464,0.288,0.172,5,5,30.5,1.6,14.7,,10.2,28.2,17.7,4.7,,,,C0BA_Oleta_2019_FEB,C0BA,Oleta,2019,FEB
C059_Ordunte_2019_FEB,2,70.5,,,,7,5,52.1,1.3,36.3,,8.7,24.6,15.6,3.4,8.5,78.5,41.0,C059_Ordunte_2019_FEB,C059,Ordunte,2019,FEB
C072_Orduña_2019_FEB,4,75.6,,,,5,5,50.2,1.1,34,,6.1,19.7,10.2,2.7,30.9,111.2,63.4,C072_Orduña_2019_FEB,C072,Orduña,2019,FEB
C0B4_Orozko_2019_FEB,2,73.3,1.539,0.207,0.027,8,5,65,1.6,47.5,,9.3,26.2,16.9,4.0,5.3,47.9,29.6,C0B4_Orozko_2019_FEB,C0B4,Orozko,2019,FEB
C054_Otxandio_2019_FEB,18,77.5,2.238,0.298,0.094,8,5,78.4,1.7,47.9,11.5,5.9,22.5,13.5,0.1,5.3,63.0,31.3,C054_Otxandio_2019_FEB,C054,Otxandio,2019,FEB
C042_Punta Galea_2019_FEB,0,70.7,,,,10,6,26.7,1.3,15.1,,12.1,25.2,16.5,8.4,20.1,117.7,55.4,C042_Punta Galea_2019_FEB,C042,Punta Galea,2019,FEB
